,NAME,submission_date,avg_mobility
760808,Washington,07/18/2020,23.6
760809,Washington,07/19/2020,19.4
760810,Washington,07/20/2020,8.6
760811,Washington,07/21/2020,13.4
760812,Washington,07/22/2020,5.0
760813,Washington,07/23/2020,1.6
760814,Washington,07/24/2020,3.4
760815,Washington,07/25/2020,22.2
760816,Washington,07/26/2020,20.2
760817,Washington,07/27/2020,8.4
760818,Washington,07/28/2020,10.0
760819,Washington,07/29/2020,11.8
760820,Washington,07/30/2020,8.0
760821,Washington,07/31/2020,8.6
760822,Washington,08/01/2020,17.4
760823,Washington,08/02/2020,15.6
760824,Washington,08/03/2020,3.2
760825,Washington,08/04/2020,12.8
760826,Washington,08/05/2020,12.2
760827,Washington,08/06/2020,-5.4
760828,Washington,08/07/2020,5.6
760829,Washington,08/08/2020,10.6
760830,Washington,08/09/2020,18.2
760831,Washington,08/10/2020,5.0
760832,Washington,08/11/2020,7.0
760833,Washington,08/12/2020,6.2
760834,Washington,08/13/2020,5.6
760835,Washington,08/14/2020,9.4
760836,Washington,08/15/2020,19.6
760837,Washington,08/16/2020,17.2
760838,Washington,08/17/2020,2.2
760839,Washington,08/18/2020,5.8
760840,Washington,08/19/2020,6.6
760841,Washington,08/20/2020,-0.2
760842,Washington,08/21/2020,-5.6
760843,Washington,08/22/2020,14.0
760844,Washington,08/23/2020,13.2
760845,Washington,08/24/2020,-0.8
760846,Washington,08/25/2020,7.0
760847,Washington,08/26/2020,7.2
760848,Washington,08/27/2020,5.2
760849,Washington,08/28/2020,7.0
760850,Washington,08/29/2020,12.4
760851,Washington,08/30/2020,10.8
760852,Washington,08/31/2020,-3.4
760853,Washington,09/01/2020,7.8
760854,Washington,09/02/2020,6.0
760855,Washington,09/03/2020,5.4
760856,Washington,09/04/2020,7.0
760857,Washington,09/05/2020,13.4
760858,Washington,09/06/2020,18.2
760859,Washington,09/07/2020,3.4
760860,Washington,09/08/2020,-2.6
760861,Washington,09/09/2020,-0.4
760862,Washington,09/10/2020,-2.6
760863,Washington,09/11/2020,-10.6
760864,Washington,09/12/2020,-14.2
760865,Washington,09/13/2020,-18.6
760866,Washington,09/14/2020,-20.0
760867,Washington,09/15/2020,-15.4
760868,Washington,09/16/2020,-14.0
760869,Washington,09/17/2020,-14.6
760870,Washington,09/18/2020,-16.4
760871,Washington,09/19/2020,-0.6
760872,Washington,09/20/2020,2.4
760873,Washington,09/21/2020,-11.4
760874,Washington,09/22/2020,-7.2
760875,Washington,09/23/2020,-22.4
760876,Washington,09/24/2020,-19.2
760877,Washington,09/25/2020,-20.8
760878,Washington,09/26/2020,-7.2
760879,Washington,09/27/2020,-2.4
760880,Washington,09/28/2020,-12.2
760881,Washington,09/29/2020,-8.0
760882,Washington,09/30/2020,-7.8
760883,Washington,10/01/2020,-10.6
760884,Washington,10/02/2020,-6.2
760885,Washington,10/03/2020,0.4
760886,Washington,10/04/2020,-7.8
760887,Washington,10/05/2020,-12.8
760888,Washington,10/06/2020,-6.6
760889,Washington,10/07/2020,-10.0
760890,Washington,10/08/2020,-12.8
760891,Washington,10/09/2020,-10.4
760892,Washington,10/10/2020,-10.4
760893,Washington,10/11/2020,-19.2
760894,Washington,10/12/2020,-15.8
760895,Washington,10/13/2020,-18.2
760896,Washington,10/14/2020,-10.8
760897,Washington,10/15/2020,-11.2
760898,Washington,10/16/2020,-16.8
760899,Washington,10/17/2020,-3.0
760900,Washington,10/18/2020,-13.4
760901,Washington,10/19/2020,-20.8
760902,Washington,10/20/2020,-10.6
760903,Washington,10/21/2020,-14.6
760904,Washington,10/22/2020,-13.6
760905,Washington,10/23/2020,-23.0
760906,Washington,10/24/2020,-7.6
760907,Washington,10/25/2020,-9.4
760908,Washington,10/26/2020,-20.2
760909,Washington,10/27/2020,-14.6
760910,Washington,10/28/2020,-13.4
760911,Washington,10/29/2020,-15.6
760912,Washington,10/30/2020,-15.2
760913,Washington,10/31/2020,0.6
760914,Washington,11/01/2020,-8.8
760915,Washington,11/02/2020,-17.2
760916,Washington,11/03/2020,-24.6
760917,Washington,11/04/2020,-23.0
760918,Washington,11/05/2020,-27.0
760919,Washington,11/06/2020,-20.8
760920,Washington,11/07/2020,-14.0
760921,Washington,11/08/2020,-13.0
760922,Washington,11/09/2020,-26.6
760923,Washington,11/10/2020,-23.6
760924,Washington,11/11/2020,-17.0
760925,Washington,11/12/2020,-25.4
760926,Washington,11/13/2020,-24.6
760927,Washington,11/14/2020,-19.6
760928,Washington,11/15/2020,-18.0
760929,Washington,11/16/2020,-30.8
760930,Washington,11/17/2020,-27.8
760931,Washington,11/18/2020,-28.8
760932,Washington,11/19/2020,-27.4
760933,Washington,11/20/2020,-25.0
760934,Washington,11/21/2020,-11.0
760935,Washington,11/22/2020,-24.2
760936,Washington,11/23/2020,-26.8
760937,Washington,11/24/2020,-23.8
760938,Washington,11/25/2020,-12.6
760939,Washington,11/26/2020,-51.2
760940,Washington,11/27/2020,-26.6
760941,Washington,11/28/2020,-21.6
760942,Washington,11/29/2020,-19.4
760943,Washington,11/30/2020,-27.6
760944,Washington,12/01/2020,-19.6
760945,Washington,12/02/2020,-18.6
760946,Washington,12/03/2020,-24.4
760947,Washington,12/04/2020,-21.2
760948,Washington,12/05/2020,-10.0
760949,Washington,12/06/2020,-20.8
760950,Washington,12/07/2020,-27.0
760951,Washington,12/08/2020,-28.2
760952,Washington,12/09/2020,-23.0
760953,Washington,12/10/2020,-26.0
760954,Washington,12/11/2020,-25.6
760955,Washington,12/12/2020,-12.4
760956,Washington,12/13/2020,-26.4
760957,Washington,12/14/2020,-27.2
760958,Washington,12/15/2020,-26.4
760959,Washington,12/16/2020,-26.0
